State	Confirmed	Recovered	Deaths	Active	State_code	Delta_Confirmed	Delta_Recovered	Delta_Deaths
Total	10981	1295	368	9318	TT	527	97	10
Maharashtra	2455	229	160	2066	MH	121	0	0
Delhi	1510	31	28	1451	DL	0	0	0
Tamil Nadu	1204	81	12	1111	TN	31	23	1
Rajasthan	969	133	11	825	RJ	72	12	0
Madhya Pradesh	614	51	50	513	MP	0	0	0
Telangana	592	103	17	472	TG	0	0	0
Gujarat	650	59	28	563	GJ	78	5	2
Uttar Pradesh	660	50	8	602	UP	102	1	3
Andhra Pradesh	473	16	9	448	AP	34	4	2
Kerala	386	211	2	173	KL	8	13	0
Jammu and Kashmir	278	30	4	244	JK	8	14	0
Karnataka	260	71	10	179	KA	13	11	2
Haryana	198	55	3	140	HR	2	4	0
West Bengal	190	36	7	147	WB	38	7	0
Punjab	184	25	12	147	PB	8	0	0
Bihar	66	29	1	36	BR	0	1	0
Odisha	60	18	1	41	OR	5	0	0
Uttarakhand	37	9	0	28	UT	2	2	0
Himachal Pradesh	32	12	2	18	HP	0	0	0
Chhattisgarh	33	10	0	23	CT	2	0	0
Assam	31	0	1	30	AS	0	0	0
Jharkhand	27	0	2	25	JH	3	0	0
Chandigarh	21	7	0	14	CH	0	0	0
Ladakh	17	12	0	5	LA	0	0	0
Andaman and Nicobar Islands	11	10	0	1	AN	0	0	0
Goa	7	5	0	2	GA	0	0	0
Puducherry	7	1	0	6	PY	0	0	0
Manipur	2	1	0	1	MN	0	0	0
Tripura	2	0	0	2	TR	0	0	0
Mizoram	1	0	0	1	MZ	0	0	0
Arunachal Pradesh	1	0	0	1	AR	0	0	0
Dadra and Nagar Haveli	1	0	0	1	DN	0	0	0
Nagaland	1	0	0	1	NL	0	0	0
Meghalaya	1	0	0	1	ML	0	0	0
Daman and Diu	0	0	0	0	DD	0	0	0
Lakshadweep	0	0	0	0	LD	0	0	0
Sikkim	0	0	0	0	SK	0	0	0
